id,title,cast
238,The Godfather,"[1158, 3084, 3085, 3086, 3087, 3088, 3142]"
278,The Shawshank Redemption,"[504, 192, 4029, 6573, 6574, 6575, 6577]"
772071,Cuando Sea Joven,"[975043, 1222995, 954828, 1095074, 936249, 3523074, 51906]"
240,The Godfather Part II,"[1158, 3087, 3092, 380, 3094, 933716, 3096]"
19404,Dilwale Dulhania Le Jayenge,"[35742, 55061, 691, 6217, 35759, 146971, 146972]"
424,Schindler's List,"[3896, 2282, 5469, 6692, 6693, 6368, 6694]"
129,Spirited Away,"[19587, 19588, 19589, 19590, 19591, 20334, 544088]"
389,12 Angry Men,"[1936, 5247, 5248, 5249, 5250, 2651, 5251]"
372058,Your Name.,"[225730, 1369100, 1668610, 936275, 1210634, 1324666, 1344919]"
496243,Parasite,"[20738, 115290, 556435, 1255881, 1442583, 1572354, 2158882]"
155,The Dark Knight,"[3894, 1810, 3895, 64, 6383, 1579, 192]"
497,The Green Mile,"[31, 61981, 52, 5149, 2169, 6806, 6807]"
680,Pulp Fiction,"[8891, 2231, 139, 62, 10182, 1037, 7036]"
429,"The Good, the Bad and the Ugly","[190, 3265, 4078, 5813, 5814, 5815, 1077276]"
13,Forrest Gump,"[31, 32, 33, 35, 34, 37821, 204997]"
122,The Lord of the Rings: The Return of the King,"[109, 1327, 882, 110, 1328, 1333, 112]"
372754,Dou kyu sei – Classmates,"[126698, 93801, 9720]"
769,GoodFellas,"[11477, 380, 4517, 11478, 7004, 11480, 11482]"
704264,Primal: Tales of Savagery,"[1281304, 1836598, 1218986, 60300]"
995133,"The Boy, the Mole, the Fox and the Horse","[3024068, 2441, 17605, 5168]"
696374,Gabriel's Inferno,"[1312450, 544002, 73659, 1188681, 2595115, 1326237]"
346,Seven Samurai,"[7450, 7453, 20828, 20829, 7454, 7457, 20830]"
11216,Cinema Paradiso,"[24366, 20030, 27643, 68635, 120152, 70083, 52657]"
637,Life Is Beautiful,"[4818, 9235, 9236, 9237, 9239, 9240, 9242]"
12477,Grave of the Fireflies,"[72413, 72414, 72415, 72416, 3773478, 3773484, 3773488]"
311,Once Upon a Time in America,"[380, 4512, 4513, 4517, 4521, 4514, 4515]"
539,Psycho,"[7301, 7303, 7304, 1936, 53010, 7302, 14063]"
724089,Gabriel's Inferno: Part II,"[1312450, 544002, 2345991, 2595115, 1188681, 109024, 206423]"
550,Fight Club,"[819, 287, 1283, 7470, 7499, 7471, 7497]"
667257,Impossible Things,"[1508206, 1379379, 224508, 941366, 1549908, 1304427, 1309461]"
820067,The Quintessential Quintuplets Movie,"[233590, 119143, 1072776, 1530921, 992869, 1325949, 1255699]"
598,City of God,"[8595, 8596, 8597, 8598, 8599, 8600, 5659]"
510,One Flew Over the Cuckoo's Nest,"[514, 7071, 518, 7072, 7077, 1370, 1062]"
761053,Gabriel's Inferno: Part III,"[1312450, 544002, 1844204, 2345991, 2595115, 1188681, 139749]"
620249,The Legend of Hei,"[1907244, 2156556, 2207399, 2196313, 2339317, 1853547, 2207400]"
14537,Harakiri,"[70131, 76977, 76976, 10071, 125721, 118993, 33730]"
324857,Spider-Man: Into the Spider-Verse,"[587506, 543505, 130640, 932967, 226366, 10437, 141610]"
4935,Howl's Moving Castle,"[533325, 12670, 20338, 19592, 225730, 40449, 40450]"
157336,Interstellar,"[10297, 1813, 83002, 58549, 9560, 3895, 851784]"
378064,A Silent Voice: The Movie,"[19588, 221773, 936275, 1065297, 1258549, 1224288, 1164931]"
120,The Lord of the Rings: The Fellowship of the Ring,"[109, 1327, 882, 110, 1328, 112, 655]"
40096,A Dog's Will,"[8600, 87341, 123757, 123758, 102551, 90219, 123759]"
1891,The Empire Strikes Back,"[2, 3, 4, 3799, 6, 24342, 24343]"
92321,Hotarubi no Mori e,"[1315197, 1248372, 992869, 1254052, 65438, 1315198, 1083327]"
423,The Pianist,"[3490, 3491, 6637, 6638, 6639, 6640, 6641]"
553512,Burn the Stage: The Movie,"[1544084, 1544088, 1544086, 1544090, 1544092, 1544093, 1544095]"
121,The Lord of the Rings: The Two Towers,"[109, 1327, 882, 110, 1328, 1333, 112]"
244786,Whiplash,"[996701, 18999, 781, 129104, 970216, 15824, 1451540]"
18491,Neon Genesis Evangelion: The End of Evangelion,"[77927, 40325, 77931, 83768, 77934, 126484, 84508]"
807,Se7en,"[287, 192, 12052, 8655, 11885, 1558263, 534]"
27205,Inception,"[6193, 24045, 3899, 2524, 27578, 95697, 2037]"
599,Sunset Boulevard,"[8252, 8629, 8630, 8631, 8632, 8633, 8634]"
567,Rear Window,"[854, 4070, 7684, 7683, 7685, 7686, 49906]"
652837,"Josee, the Tiger and the Fish","[1255318, 1671407, 1772522, 1254260, 1691384, 2740138, 2813402]"
255709,Hope,"[85008, 1299243, 1299244, 123820, 93252, 980225, 123818]"
73,American History X,"[819, 820, 821, 823, 824, 826, 822]"
3782,Ikiru,"[7453, 34375, 34376, 34377, 34378, 33767, 7454]"
568332,Taylor Swift: Reputation Stadium Tour,"[212208, 1529997, 1911673, 3159931, 1448505, 3159942, 3159943]"
914,The Great Dictator,"[13848, 14027, 14028, 14029, 10924, 5464, 14030]"
274,The Silence of the Lambs,"[1038, 4173, 349, 15854, 16293, 31649, 6930]"
128,Princess Mononoke,"[622, 20330, 20331, 20332, 20333, 20334, 20338]"
851644,20th Century Girl,"[140335, 2117890, 2377671, 3218480, 1806235, 17127, 3728650]"
533514,Violet Evergarden: The Movie,"[1224288, 110665, 84508, 225655, 1248340, 1254052, 223687]"
901,City Lights,"[13848, 13852, 13854, 13855, 13856, 21306, 1041513]"
12493,High and Low,"[7450, 70131, 34374, 13251, 20830, 72539, 72540]"
101,Léon: The Professional,"[1003, 524, 64, 1004, 1005, 1010, 13420]"
644479,Dedicated to my ex,"[1640507, 1640510, 147333, 1737888, 1309844, 239574, 1640509]"
207,Dead Poets Society,"[2157, 569, 2692, 2693, 2694, 2695, 2696]"
105,Back to the Future,"[521, 1062, 1063, 1064, 1065, 1066, 1067]"
568300,BTS World Tour: Love Yourself in Seoul,"[1544084, 1544088, 1544086, 1544090, 1544092, 1544093, 1544095]"
3082,Modern Times,"[13848, 14027, 14438, 30194, 30195, 13856, 30196]"
527641,Five Feet Apart,"[1286328, 56730, 57412, 1538035, 231610, 4174, 209200]"
20334,The Shop Around the Corner,"[14869, 854, 9067, 24820, 85956, 2494, 83236]"
630566,Clouds,"[1887455, 1152083, 1597855, 9206, 16857, 1488961, 1524215]"
25237,Come and See,"[93407, 93408, 93409, 139096, 1148739, 1148740, 1148741]"
335,Once Upon a Time in the West,"[4959, 4958, 4765, 4960, 4961, 4962, 4963]"
447362,Life in a Year,"[120724, 1289968, 9777, 9781, 150, 1795840, 1260036]"
16672,Woman in the Dunes,"[25466, 94188, 555339, 96804, 96805, 96806]"
441130,Wolfwalkers,"[1363045, 2770089, 48, 16358, 107682, 37169, 167450]"
361743,Top Gun: Maverick,"[500, 996701, 6161, 65717, 83271, 228, 5576]"
315162,Puss in Boots: The Last Wish,"[3131, 3136, 210172, 52583, 1373737, 39187, 5538]"
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,"[77927, 83768, 9711, 40325, 77931, 77933, 90567]"
795607,Green Snake,"[2508433, 3174708, 2199340, 2339332, 2508434, 2508435, 3178033]"
10494,Perfect Blue,"[65437, 65424, 553949, 1685, 65438, 553950, 84509]"
28,Apocalypse Now,"[3084, 3087, 8349, 8351, 2975, 8354, 8350]"
618344,Justice League Dark: Apokolips War,"[127712, 3035, 527313, 183812, 5916, 1164238, 11008]"
29259,Le Trou,"[24495, 103397, 25333, 103398, 46936, 103399, 103400]"
632632,Given,"[1248374, 2019916, 2157589, 1492992, 1247778]"
637920,Miracle in Cell No. 7,"[1163030, 1985311, 556113, 935344, 1948853, 1258255, 1251887]"
10376,The Legend of 1900,"[3129, 3201, 59373, 5502, 80503, 15864, 386]"
975,Paths of Glory,"[2090, 14562, 14563, 14564, 14565, 12312, 592]"
77338,The Intouchables,"[33161, 78423, 1939095, 19370, 2411, 26107, 219708]"
537061,Steven Universe: The Movie,"[225863, 1217614, 1393199, 109488, 1890500, 1226513, 1332680]"
15804,A Brighter Summer Day,"[1622, 150162, 1088685, 103598, 1293234, 1089570, 1083229]"
265177,Mommy,"[86612, 575662, 142689, 123185, 1440314, 1440315, 227059]"
670,Oldboy,"[64880, 10112, 1299317, 77182, 77180, 77188, 554330]"
299534,Avengers: Endgame,"[3223, 16828, 103, 74568, 1245, 17604, 1896]"
299536,Avengers: Infinity War,"[3223, 74568, 103, 16828, 1245, 71580, 1136406]"
575813,Better Days,"[145092, 2223265, 2133335, 106581, 113791, 2440951, 3296267]"
508965,Klaus,"[17881, 18999, 80591, 3234, 77075, 39125, 124749]"
8587,The Lion King,"[53283, 4756, 15152, 16940, 20005, 69415, 78729]"
1585,It's a Wonderful Life,"[854, 17752, 17753, 3383, 7666, 17755, 17759]"
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"[1256603, 1563442, 119145, 233590, 224413, 9705, 24647]"
797,Persona,"[6657, 11916, 11917, 6649, 11918]"
290098,The Handmaiden,"[123664, 1537768, 75913, 138336, 93252, 83122, 557743]"
42269,We All Loved Each Other So Much,"[37583, 12259, 34027, 24606, 94420, 4420, 225392]"
740937,"Simone, The Journey of the Century","[39195, 131607, 59807, 72946, 45152, 1363528, 4529]"
504253,I Want to Eat Your Pancreas,"[1318732, 1691384, 115301, 62318, 34923, 1492992, 1287794]"
490132,Green Book,"[110, 932967, 1817, 299743, 1613744, 130532, 1211946]"
556574,Hamilton,"[1179651, 1254614, 87932, 1631814, 1652371, 1307751, 1291890]"
110420,Wolf Children,"[1054260, 559411, 104522, 45999, 225662, 1314114, 1210372]"
31414,Satantango,"[224340, 224341, 49673, 224346, 224342, 89812, 402999]"
5156,Bicycle Thieves,"[42416, 42417, 42419, 974973, 944148, 42423, 975006]"
