adult,gender,id,known_for_department,name,original_name,popularity,profile_path,cast_id,character,credit_id,order
False,2,1158,Acting,Al Pacino,Al Pacino,36.153,/fMDFeVf0pjopTJbyRSLFwNDm8Wr.jpg,6,Michael Corleone,52fe422bc3a36847f800935b,0
False,2,3084,Acting,Marlon Brando,Marlon Brando,15.757,/fuTEPMsBtV1zE98ujPONbKiYDc2.jpg,5,Vito Corleone,52fe422bc3a36847f8009357,1
False,2,3085,Acting,James Caan,James Caan,16.574,/v3flJtQEyczxENi29yJyvnN6LVt.jpg,7,Sonny Corleone,52fe422bc3a36847f800935f,2
False,2,3086,Acting,Richard S. Castellano,Richard S. Castellano,6.763,/1vr75BdHWret81vuSJ3ugiCBkxw.jpg,8,Peter Clemenza,52fe422bc3a36847f8009363,3
False,2,3087,Acting,Robert Duvall,Robert Duvall,20.463,/3tcKxC5Sc3DJ6XPDKKC2EAomEWn.jpg,9,Tom Hagen,52fe422bc3a36847f8009367,4
False,2,3088,Acting,Sterling Hayden,Sterling Hayden,10.082,/dCTe6BsGSp9QTcva2Pz4wbxxYMY.jpg,10,Captain McCluskey,52fe422bc3a36847f800936b,5
False,2,3142,Acting,John Marley,John Marley,4.619,/k8YnXZDhhn28bSE75tLz9juR46u.jpg,33,Jack Woltz,52fe422bc3a36847f800938b,6
False,2,504,Acting,Tim Robbins,Tim Robbins,19.722,/A4fHNLX73EQs78f2G6ObfKZnvp4.jpg,3,Andy Dufresne,52fe4231c3a36847f800b131,0
False,2,192,Acting,Morgan Freeman,Morgan Freeman,50.723,/jPsLqiYGSofU4s6BjrxnefMfabb.jpg,4,Ellis Boyd 'Red' Redding,52fe4231c3a36847f800b135,1
False,2,4029,Acting,Bob Gunton,Bob Gunton,15.579,/rr2KDCKK4t0f5YhZibCpLCAsJxc.jpg,5,Warden Norton,52fe4231c3a36847f800b139,2
False,2,6573,Acting,William Sadler,William Sadler,13.691,/rWeb2kjYCA7V9MC9kRwRpm57YoY.jpg,7,Heywood,52fe4231c3a36847f800b13d,3
